"day" "mouse" "volume" "group"
1 11 119.4 1
4 11 251.3 1
6 11 245.5 1
8 11 377.5 1
11 11 401.2 1
13 11 435.9 1
15 11 691 1
18 11 1066.6 1
1 12 649 1
4 12 916.2 1
6 12 998.4 1
8 12 1051.2 1
1 13 64.1 1
4 13 68.8 1
6 13 99.8 1
8 13 106 1
11 13 163.4 1
13 13 159.7 1
15 13 226.5 1
18 13 425.9 1
20 13 989.8 1
1 14 48.7 1
4 14 57.6 1
6 14 74.1 1
8 14 106.2 1
11 14 123.6 1
13 14 116.5 1
15 14 121.8 1
18 14 113.7 1
20 14 121 1
22 14 65.1655 1
25 14 83.106 1
27 14 69.12 1
29 14 77.5 1
32 14 57.132 1
34 14 88.704 1
36 14 52.9 1
39 14 38.808 1
1 15 164.8 1
4 15 392.4 1
6 15 358.1 1
8 15 554.9 1
11 15 718.8 1
13 15 717.3 1
15 15 1039.5 1
1 16 488.7 1
4 16 1029.4 1
1 17 193.6 1
4 17 441.8 1
6 17 292.4 1
8 17 468.3 1
11 17 1366.9 1
1 18 82.5 1
4 18 329.1 1
6 18 541.5 1
8 18 549.8 1
11 18 691.5 1
13 18 944.8 1
1 21 143.7 2
4 21 183 2
6 21 220.3 2
8 21 146.9 2
11 21 186.6 2
13 21 222.4 2
15 21 190.4 2
18 21 242 2
20 21 435.7 2
22 21 412.1 2
25 21 598 2
27 21 962.6 2
1 22 491.9 2
4 22 795.7 2
6 22 1428.3 2
1 23 28.8 2
4 23 47.6 2
6 23 46.2 2
8 23 35.7 2
11 23 45.5 2
13 23 44.4 2
15 23 36.8 2
18 23 35.2 2
20 23 35.2 2
22 23 51.8 2
1 24 177.5 2
4 24 270.1 2
6 24 1065.7 2
1 25 152.6 2
4 25 217.6 2
6 25 321 2
8 25 415.9 2
11 25 528.8 2
13 25 594.1 2
15 25 662.7 2
18 25 1164.9 2
20 25 1164.3 2
1 26 87.7 2
4 26 82.9 2
6 26 148.8 2
8 26 154.4 2
11 26 149.9 2
13 26 158.8 2
15 26 168.3 2
18 26 133 2
20 26 139.2 2
22 26 240.3 2
25 26 397.4 2
27 26 431.7 2
29 26 426.3 2
32 26 655 2
34 26 749.088 2
36 26 953.344 2
1 28 230.3 2
4 28 700.4 2
6 28 998.5 2
8 28 1063 2
1 31 247.8 3
4 31 524.8 3
6 31 767.1 3
8 31 741.6 3
11 31 815.4 3
13 31 861.9 3
15 31 847.2 3
18 31 1467.1 3
1 32 62.4 3
4 32 142.9 3
6 32 165.6 3
8 32 188.5 3
11 32 217.3 3
13 32 303.2 3
15 32 347.7 3
18 32 495.1 3
20 32 396.7 3
1 33 32 3
4 33 67.2 3
6 33 111 3
8 33 116.6 3
11 33 150.8 3
13 33 144.5 3
15 33 210.4 3
18 33 476.2 3
20 33 465.9 3
22 33 631.8 3
25 33 728.3 3
27 33 1035 3
